ablation,mean_observed,delta_id_switches,delta_mean_streak,delta_mean_displacement,ade,baseline_ade,delta_ade,predicted_points
baseline,10.755555555555556,0,0.0,0.0,7.159439143056546,7.159439143056546,0.0,
sanitize_only,10.422222222222222,0,-4.333333333333332,0.09538862195903342,7.338240096941307,7.159439143056546,0.17880095388476125,0
sanitize_plus_velocity_cap,10.422222222222222,0,-4.333333333333332,0.09538862195903342,7.338240096941307,7.159439143056546,0.17880095388476125,0
sanitize_plus_velocity_cap_hull,10.422222222222222,0,-4.333333333333332,0.12100392314233055,7.442393789949138,7.159439143056546,0.2829546468925921,0
sanitize_plus_velocity_cap_spacing,10.422222222222222,0,-4.333333333333332,0.08484061717188007,7.392659285997565,7.159439143056546,0.23322014294101923,0
full,10.422222222222222,0,-4.333333333333332,18.814304931192666,20.364851515708896,7.159439143056546,13.20541237265235,10
cluster_cohesion,10.422222222222222,0,-4.333333333333332,1.5283954101516892,17.18060200730087,7.159439143056546,10.021162864244324,0
collective_momentum,10.422222222222222,0,-4.333333333333332,0.09538862195903342,7.338240096941307,7.159439143056546,0.17880095388476125,0
convergence_pull,10.422222222222222,0,-4.333333333333332,9.593672800473147,20.060464880436253,7.159439143056546,12.901025737379708,0
cut_continuation,10.422222222222222,0,-4.333333333333332,0.18339182831833556,7.392611184930513,7.159439143056546,0.23317204187396712,0
dead_ball_freeze,10.422222222222222,0,-4.333333333333332,0.17373186643735172,7.0764248730226615,7.159439143056546,-0.08301427003388451,0
divergence_spread,10.422222222222222,0,-4.333333333333332,0.09538862195903342,7.338240096941307,7.159439143056546,0.17880095388476125,0
hull_containment,10.422222222222222,0,-4.333333333333332,0.12100392314233055,7.442393789949138,7.159439143056546,0.2829546468925921,0
isolated_player_hold,10.422222222222222,0,-4.333333333333332,0.09547326166969272,7.342793350940377,7.159439143056546,0.1833542078838306,0
mirror_prediction,10.422222222222222,0,-4.333333333333332,0.3140247615630054,7.291327284382132,7.159439143056546,0.1318881413255859,0
reid_gap_fill,10.422222222222222,0,-4.333333333333332,0.09538862195903342,7.338240096941307,7.159439143056546,0.17880095388476125,10
spacing_push,10.422222222222222,0,-4.333333333333332,0.08484061717188007,7.392659285997565,7.159439143056546,0.23322014294101923,0
stationary_persistence,10.422222222222222,0,-4.333333333333332,0.09538862195903342,7.338240096941307,7.159439143056546,0.17880095388476125,0
velocity_cap,10.422222222222222,0,-4.333333333333332,0.09538862195903342,7.338240096941307,7.159439143056546,0.17880095388476125,0
