seed_id,A0_forecast_ade,A1_forecast_ade,A1_residual_forecast_ade,A3_forecast_ade,linear_forecast_ade,delta_A1_minus_A0,winner,winner_vs_linear,winner_residual_vs_linear,A0_teacher_forced,A1_teacher_forced
offset_0s,40.15299182205631,44.984449037221445,7.248357134357561,40.78559717493895,7.094899719933177,4.831457215165138,A0,linear,linear,69.55036931643353,122.4023431022753
offset_10s,7.858015224044043,7.457814676262929,6.151760852310757,7.9470277165416485,6.163764922036038,-0.4002005477811137,A1,linear,A1_residual,8.562130701310867,5.251594475865674
offset_12s,10.686401478605006,6.339930191353508,4.677560083907727,8.471201063285271,4.688552850715641,-4.346471287251498,A1,linear,A1_residual,9.278322158808976,4.980237690424791
offset_14s,10.43274140853807,6.968872777553704,5.948327002948575,8.724274327978561,5.943614040600911,-3.463868630984365,A1,linear,tie,10.087358410687221,4.495385970151091
offset_15s,37.296695994126054,41.57758040247291,5.151075380396664,37.11899809600471,5.185002135343581,4.280884408346857,A0,linear,A1_residual,80.00345414500634,99.33631906691512
offset_16s,11.193131964498157,9.975477197148866,7.380075761492426,10.914051604177901,7.384540562251234,-1.2176547673492912,A1,linear,tie,7.615356687029057,4.79281523464905
offset_18s,10.665072684118241,7.554140473204379,6.122910140607054,8.614503774293528,5.954555263206858,-3.1109322109138624,A1,linear,linear,7.920390745111114,4.671576898586573
offset_2s,7.702032633871597,5.645937724337897,3.246405612644809,5.791132360056117,3.219550224957729,-2.0560949095336998,A1,linear,linear,7.438438888485817,4.345330575902891
offset_4s,9.5654701118484,6.74827082930992,4.499583244211773,6.563434373668453,4.550815699945138,-2.81719928253848,A1,linear,A1_residual,9.032197744311656,4.96203931425972
offset_5s,53.683680359714494,50.644915659539095,4.678311718924819,43.97251854501456,4.5721068126651145,-3.038764700175399,A1,linear,linear,89.25016387490665,118.13771960454828
offset_6s,11.56251098251585,7.21561294189377,5.662389735418551,9.23755107604695,5.6679269123552,-4.346898040622079,A1,linear,tie,10.632880717258463,4.965819933468147
offset_8s,9.550234316262216,8.871643634412237,6.659032215315841,7.758211761960107,6.783438935906647,-0.678590681849979,A1,linear,A1_residual,7.59821462543053,6.255611611965537
