max_width_frac,y_min_court_frac,max_players,total_frames,include_predicted_in_counts,mean_players_per_frame,std_players_per_frame,min_players_per_frame,max_players_per_frame,mean_observed_per_frame,mean_predicted_per_frame,frames_with_full_coverage,total_id_switches,mean_track_streak,min_track_streak,mean_displacement,max_jump,rolling_loss_frames,sudden_drop_frames,tag,ade,baseline_ade,delta_ade
0.4,0.1,10,45,False,9.822222222222223,0.4365973934308555,8,10,9.822222222222223,0.0,38,2,27.571428571428573,3,3.8589927083530324,25.456826196523384,0,0,w0.4_y0.1_p10,5.868504506028961,7.159439143056546,-1.2909346370275854
0.4,0.15,10,45,False,9.822222222222223,0.4365973934308555,8,10,9.822222222222223,0.0,38,2,27.571428571428573,3,3.8589927083530324,25.456826196523384,0,0,w0.4_y0.15_p10,5.868504506028961,7.159439143056546,-1.2909346370275854
0.4,0.2,10,45,False,9.822222222222223,0.4365973934308555,8,10,9.822222222222223,0.0,38,2,27.571428571428573,3,3.8589927083530324,25.456826196523384,0,0,w0.4_y0.2_p10,5.868504506028961,7.159439143056546,-1.2909346370275854
0.35,0.1,10,45,False,9.777777777777779,0.4661372658534008,8,10,9.777777777777779,0.0,36,0,25.714285714285715,3,3.8771574191919336,16.813387523042454,0,0,w0.35_y0.1_p10,6.0317879687388425,7.159439143056546,-1.1276511743177036
0.35,0.15,10,45,False,9.777777777777779,0.4661372658534008,8,10,9.777777777777779,0.0,36,0,25.714285714285715,3,3.8771574191919336,16.813387523042454,0,0,w0.35_y0.15_p10,6.0317879687388425,7.159439143056546,-1.1276511743177036
0.35,0.2,10,45,False,9.777777777777779,0.4661372658534008,8,10,9.777777777777779,0.0,36,0,25.714285714285715,3,3.8771574191919336,16.813387523042454,0,0,w0.35_y0.2_p10,6.0317879687388425,7.159439143056546,-1.1276511743177036
0.3,0.1,10,45,False,9.71111111111111,0.6190394789859607,7,10,9.71111111111111,0.0,35,0,25.642857142857142,3,3.874397571897001,16.813387523042454,0,1,w0.3_y0.1_p10,6.0399147358889955,7.159439143056546,-1.1195244071675505
0.3,0.15,10,45,False,9.71111111111111,0.6190394789859607,7,10,9.71111111111111,0.0,35,0,25.642857142857142,3,3.874397571897001,16.813387523042454,0,1,w0.3_y0.15_p10,6.0399147358889955,7.159439143056546,-1.1195244071675505
0.3,0.2,10,45,False,9.71111111111111,0.6190394789859607,7,10,9.71111111111111,0.0,35,0,25.642857142857142,3,3.874397571897001,16.813387523042454,0,1,w0.3_y0.2_p10,6.0399147358889955,7.159439143056546,-1.1195244071675505
0.4,0.1,12,45,False,10.533333333333333,1.0241527663824812,8,12,10.533333333333333,0.0,38,0,29.666666666666668,3,3.6320974982187706,15.008331019803657,0,0,w0.4_y0.1_p12,7.319361059245788,7.159439143056546,0.15992191618924156
0.4,0.15,12,45,False,10.533333333333333,1.0241527663824812,8,12,10.533333333333333,0.0,38,0,29.666666666666668,3,3.6320974982187706,15.008331019803657,0,0,w0.4_y0.15_p12,7.319361059245788,7.159439143056546,0.15992191618924156
0.4,0.2,12,45,False,10.533333333333333,1.0241527663824812,8,12,10.533333333333333,0.0,38,0,29.666666666666668,3,3.6320974982187706,15.008331019803657,0,0,w0.4_y0.2_p12,7.319361059245788,7.159439143056546,0.15992191618924156
0.35,0.1,12,45,False,10.422222222222222,1.0432617417160448,8,12,10.422222222222222,0.0,36,0,27.933333333333334,3,3.665054570992532,15.008331019803657,0,0,w0.35_y0.1_p12,7.338240096941307,7.159439143056546,0.17880095388476125
0.35,0.15,12,45,False,10.422222222222222,1.0432617417160448,8,12,10.422222222222222,0.0,36,0,27.933333333333334,3,3.665054570992532,15.008331019803657,0,0,w0.35_y0.15_p12,7.338240096941307,7.159439143056546,0.17880095388476125
0.35,0.2,12,45,False,10.422222222222222,1.0432617417160448,8,12,10.422222222222222,0.0,36,0,27.933333333333334,3,3.665054570992532,15.008331019803657,0,0,w0.35_y0.2_p12,7.338240096941307,7.159439143056546,0.17880095388476125
0.3,0.1,12,45,False,10.333333333333334,1.1547005383792517,7,12,10.333333333333334,0.0,35,0,27.866666666666667,3,3.6634948587637375,15.008331019803657,0,1,w0.3_y0.1_p12,7.3587613782781185,7.159439143056546,0.19932223522157244
0.3,0.15,12,45,False,10.333333333333334,1.1547005383792517,7,12,10.333333333333334,0.0,35,0,27.866666666666667,3,3.6634948587637375,15.008331019803657,0,1,w0.3_y0.15_p12,7.3587613782781185,7.159439143056546,0.19932223522157244
0.3,0.2,12,45,False,10.333333333333334,1.1547005383792517,7,12,10.333333333333334,0.0,35,0,27.866666666666667,3,3.6634948587637375,15.008331019803657,0,1,w0.3_y0.2_p12,7.3587613782781185,7.159439143056546,0.19932223522157244
